Passagem 1: todas as impressoes em normal
Modo: all | tamanho: normal | concorrencia: 4
Leitura em streaming: ativa (sem fetchAll e sem carregar JSON bruto).

[1] baixada  Burst Lightning | 0.13 MB/s
[2] baixada  Highly Illogical | 0.22 MB/s
[3] baixada  Munitions Enthusiast | 0.33 MB/s
[4] baixada  Final Showdown | 0.41 MB/s
[5] baixada  Solemn Simulacrum | 0.43 MB/s
[6] baixada  70,000 Light-Years from Home | 0.50 MB/s
[7] baixada  A Good Day to Die | 0.52 MB/s
[8] baixada  Amok Time | 0.58 MB/s
[9] baixada  Assault Drone | 0.59 MB/s
[10] baixada  Automated Warfare System | 0.60 MB/s
[11] baixada  Badgey, Malicious Glitch | 0.64 MB/s
[12] baixada  Bat'leth | 0.69 MB/s
[13] baixada  Battle-Scarred Survivalist | 0.69 MB/s
[14] baixada  Beckett Mariner, Impetuous Ensign | 0.69 MB/s
[15] baixada  Benjamin Sisko, Besieged | 0.74 MB/s
[16] baixada  Bio-Asset Allocator | 0.74 MB/s
[17] baixada  Blood Crypt | 0.73 MB/s
[18] baixada  Blood Crypt | 0.76 MB/s
[19] baixada  Blood Crypt | 0.76 MB/s
[20] baixada  Borg Queen, Perfection Manifest | 0.79 MB/s
[21] baixada  Borg Queen, Perfection Manifest | 0.78 MB/s
[22] baixada  Brad Boimler, Eager Ensign | 0.82 MB/s
[23] baixada  Breeding Pool | 0.81 MB/s
[24] baixada  Breeding Pool | 0.84 MB/s
[25] baixada  Breeding Pool | 0.83 MB/s
[26] baixada  Cantankerous Captain | 0.86 MB/s
[27] baixada  Captain James T. Kirk | 0.83 MB/s
[28] baixada  Captain James T. Kirk | 0.86 MB/s
[29] baixada  Captain James T. Kirk | 0.85 MB/s
[30] baixada  Captain James T. Kirk | 0.87 MB/s
[31] baixada  Captain Kathryn Janeway | 0.86 MB/s
[32] baixada  Captain Kathryn Janeway | 0.87 MB/s
[33] baixada  Captain Kathryn Janeway | 0.87 MB/s
[34] baixada  Captain Kathryn Janeway | 0.89 MB/s
[35] baixada  Captain Kathryn Janeway | 0.90 MB/s
[36] baixada  Captain Kirk, Boldly Going | 0.87 MB/s
[37] baixada  Captain's Tutelage | 0.88 MB/s
[38] baixada  Ceti Eel | 0.90 MB/s
[39] baixada  Cha'DIch Investigator | 0.90 MB/s
[40] baixada  Christine Chapel, Combat Medic | 0.88 MB/s
[41] baixada  Christine Chapel, Combat Medic | 0.90 MB/s
[42] baixada  Cloistered Telepath | 0.90 MB/s
[43] baixada  Cold-Blooded Crew | 0.91 MB/s
[44] baixada  Collective Drone | 0.90 MB/s
[45] baixada  Command Decision | 0.89 MB/s
[46] baixada  Common Goal | 0.90 MB/s
[47] baixada  Consider the Prime Directive | 0.92 MB/s
[48] baixada  Cryogenic Stasis | 0.91 MB/s
[49] baixada  Crystalline Entity | 0.91 MB/s
[50] baixada  Crystalline Entity | 0.92 MB/s
[51] baixada  Cybernetic Specialist | 0.92 MB/s
[52] baixada  DOT-7 Repair Squad | 0.93 MB/s
[53] baixada  Dathon and Picard at El-Adrel | 0.93 MB/s
[54] baixada  Defense Force Aggressor | 0.94 MB/s
[55] baixada  Direct Hit | 0.93 MB/s
[56] baixada  Disruptor Pistol | 0.92 MB/s
[57] baixada  Dominion Saboteur | 0.94 MB/s
[58] baixada  Dominion Supervisor | 0.93 MB/s
[59] baixada  Dr. Beverly Crusher | 0.94 MB/s
[60] baixada  Dr. Beverly Crusher | 0.93 MB/s
[61] baixada  Dr. Beverly Crusher | 0.94 MB/s
[62] baixada  Eject the Warp Core | 0.93 MB/s
[63] baixada  Emergency Medical Hologram | 0.95 MB/s
[64] baixada  Evasive Maneuvers | 0.95 MB/s
[65] baixada  Exocomp | 0.95 MB/s
[66] baixada  Explore | 0.94 MB/s
[67] baixada  Fact or Fiction | 0.95 MB/s
[68] baixada  Federation Field Medic | 0.96 MB/s
[69] baixada  Federation Probe | 0.96 MB/s
[70] baixada  First Contact | 0.95 MB/s
[71] baixada  Forest | 0.96 MB/s
[72] baixada  Forest | 0.95 MB/s
[73] baixada  Free Borg Revolutionaries | 0.96 MB/s
[74] baixada  General Chang, Cold Warrior | 0.95 MB/s
[75] baixada  General Chang, Cold Warrior | 0.96 MB/s
[76] baixada  General Chang, Cold Warrior | 0.95 MB/s
[77] baixada  General Chang, Cold Warrior | 0.96 MB/s
[78] baixada  General Chang, Cold Warrior | 0.96 MB/s
[79] baixada  Gin'tak Charge | 0.97 MB/s
[80] baixada  Godless Shrine | 0.96 MB/s
[81] baixada  Godless Shrine | 0.97 MB/s
[82] baixada  Godless Shrine | 0.96 MB/s
[83] baixada  Gorn Captain | 0.97 MB/s
[84] baixada  Guidance Failure | 0.97 MB/s
[85] baixada  Gumato | 0.98 MB/s
[86] baixada  Hallowed Fountain | 0.97 MB/s
[87] baixada  Hallowed Fountain | 0.98 MB/s
[88] baixada  Hallowed Fountain | 0.97 MB/s
[89] baixada  He's Dead, Jim | 0.98 MB/s
[90] baixada  Head of Security | 0.97 MB/s
[91] baixada  Highly Illogical | 0.98 MB/s
[92] baixada  Hive Mind Coprocessor | 0.98 MB/s
[93] baixada  Horta | 0.99 MB/s
[94] baixada  Human | 0.99 MB/s
[95] baixada  Hoshi Sato, Exolinguist | 0.99 MB/s
[96] baixada  Humpback Whales | 0.98 MB/s
[97] baixada  Island | 0.99 MB/s
[98] baixada  I'm a Doctor, Not a . . . | 1.00 MB/s
[99] baixada  In the Pale Moonlight | 1.00 MB/s
[100] baixada  Island | 0.99 MB/s
[101] baixada  Khaaaaaaaaaaaannn! | 0.99 MB/s
[102] baixada  Kirk, Enterprising Captain | 0.99 MB/s
[103] baixada  Klingon Strike Force | 1.00 MB/s
