Modo: all | tamanho: normal | concorrencia: 2
Leitura em streaming: ativa (sem fetchAll e sem carregar JSON bruto).

[1] baixada  Take the Fall | 0.00 MB/s
[2] baixada  Talrand, Sky Summoner | 0.00 MB/s
[3] baixada  Tarnation Vista | 0.01 MB/s
[4] baixada  Tarnation Vista | 0.01 MB/s
[5] baixada  Tarnation Vista | 0.01 MB/s
[6] baixada  Tarnation Vista | 0.01 MB/s
[7] baixada  Temple of Deceit | 0.01 MB/s
[8] baixada  Temple of Epiphany | 0.02 MB/s
[9] baixada  Temple of Malady | 0.02 MB/s
[10] baixada  Temple of Malice | 0.02 MB/s
[11] baixada  Temple of Mystery | 0.02 MB/s
[12] baixada  Temple of Silence | 0.02 MB/s
[13] baixada  Temple of Triumph | 0.02 MB/s
[14] baixada  Temple of the False God | 0.03 MB/s
[15] baixada  Tenured Inkcaster | 0.03 MB/s
[16] baixada  Terminal Agony | 0.03 MB/s
[17] baixada  Terramorphic Expanse | 0.03 MB/s
[18] baixada  Territory Forge | 0.03 MB/s
[19] baixada  Territory Forge | 0.04 MB/s
[20] baixada  Territory Forge | 0.04 MB/s
[21] baixada  Terror of the Peaks | 0.04 MB/s
[22] baixada  Terror of the Peaks | 0.04 MB/s
[23] baixada  Terror of the Peaks | 0.04 MB/s
[24] baixada  Terror of the Peaks | 0.05 MB/s
[25] baixada  Tezzeret's Gambit | 0.05 MB/s
[26] baixada  The Gitrog, Ravenous Ride | 0.05 MB/s
[27] baixada  The Gitrog, Ravenous Ride | 0.05 MB/s
[28] baixada  The Gitrog, Ravenous Ride | 0.05 MB/s
[29] baixada  The Gitrog, Ravenous Ride | 0.05 MB/s
[30] baixada  The Gitrog, Ravenous Ride // The Gitrog, Ravenous Ride | 0.06 MB/s
[31] baixada  The Gitrog, Ravenous Ride // The Gitrog, Ravenous Ride (verso) | 0.06 MB/s
[32] baixada  The Key to the Vault | 0.06 MB/s
[33] baixada  The Key to the Vault | 0.06 MB/s
[34] baixada  The Key to the Vault | 0.06 MB/s
[35] baixada  The Key to the Vault | 0.06 MB/s
[36] baixada  The Key to the Vault | 0.07 MB/s
[37] baixada  The Mending of Dominaria | 0.07 MB/s
[38] baixada  The Mimeoplasm | 0.07 MB/s
[39] baixada  The Monarch | 0.07 MB/s
[40] baixada  Thief of Sanity | 0.07 MB/s
[41] baixada  Thieving Amalgam | 0.07 MB/s
[42] baixada  Thieving Skydiver | 0.08 MB/s
[43] baixada  Thieving Varmint | 0.08 MB/s
[44] baixada  Thieving Varmint | 0.08 MB/s
